ID,Prediction
0,57
1,69
2,50
3,70
4,67
5,66
6,56
7,91
8,49
9,39
10,49
11,51
12,57
13,51
14,42
15,68
16,32
17,71
18,81
19,61
20,63
21,41
22,60
23,76
24,68
25,41
26,60
27,24
28,43
29,56
30,58
31,48
32,6
33,30
34,39
35,58
36,76
37,68
38,81
39,74
40,41
41,62
42,69
43,26
44,61
45,48
46,44
47,40
48,42
49,93
50,34
51,62
52,25
53,50
54,37
55,47
56,61
57,57
58,17
59,55
60,63
61,72
62,46
63,49
64,38
65,24
66,38
67,27
68,68
69,77
70,60
71,69
72,28
73,41
74,61
75,61
76,84
77,45
78,54
79,34
80,65
81,86
82,65
83,44
84,39
85,68
86,27
87,41
88,44
89,68
90,51
91,62
92,60
93,18
94,67
95,74
96,79
97,47
98,45
99,69
100,57
101,56
102,56
103,78
104,35
105,49
106,60
107,52
108,49
109,69
110,34
111,30
112,25
113,92
114,86
115,40
116,78
117,57
118,49
119,37
120,125
121,49
122,43
123,49
124,57
125,26
126,31
127,41
128,42
129,80
130,24
131,44
132,56
133,45
134,27
135,23
136,57
137,78
