ID,Prediction
1,57.0
2,69.0
3,49.0
4,73.0
5,62.0
6,69.0
7,54.0
8,50.0
9,59.0
10,50.0
11,30.0
12,52.0
13,64.0
14,40.0
15,33.0
16,59.0
17,33.0
18,71.0
19,80.0
20,81.0
21,74.0
22,31.0
23,63.0
24,83.0
25,60.0
26,50.0
27,70.0
28,22.0
29,26.0
30,36.0
31,69.0
32,36.0
33,21.0
34,31.0
35,25.0
36,60.0
37,76.0
38,74.0
39,63.0
40,74.0
41,49.0
42,62.0
43,79.0
44,45.0
45,58.0
46,58.0
47,48.0
48,36.0
49,25.0
50,60.0
51,29.0
52,74.0
53,26.0
54,53.0
55,30.0
56,83.0
57,66.0
58,75.0
59,21.0
60,51.0
61,59.0
62,78.0
63,46.0
64,54.0
65,21.0
66,40.0
67,35.0
68,32.0
69,71.0
70,75.0
71,78.0
72,74.0
73,15.0
74,24.0
75,72.0
76,69.0
77,48.0
78,61.0
79,61.0
80,38.0
81,68.0
82,74.0
83,80.0
84,41.0
85,34.0
86,82.0
87,29.0
88,49.0
89,37.0
90,74.0
91,29.0
92,62.0
93,51.0
94,23.0
95,65.0
96,80.0
97,62.0
98,78.0
99,55.0
100,46.0
101,50.0
102,51.0
103,49.0
104,84.0
105,28.0
106,37.0
107,80.0
108,33.0
109,34.0
110,56.0
111,40.0
112,34.0
113,24.0
114,65.0
115,82.0
116,41.0
117,70.0
118,67.0
119,41.0
120,24.0
121,32.0
122,27.0
123,40.0
124,31.0
125,63.0
126,30.0
127,42.0
128,51.0
129,38.0
130,78.0
131,26.0
132,41.0
133,24.0
134,30.0
135,33.0
136,18.0
137,78.0
138,82.0
