ID,Prediction
1,63.0
2,71.0
3,53.0
4,73.0
5,63.0
6,70.0
7,55.0
8,51.0
9,56.0
10,48.0
11,30.0
12,53.0
13,62.0
14,40.0
15,29.0
16,60.0
17,32.0
18,69.0
19,82.0
20,81.0
21,79.0
22,28.0
23,65.0
24,90.0
25,61.0
26,49.0
27,71.0
28,18.0
29,24.0
30,33.0
31,69.0
32,33.0
33,20.0
34,29.0
35,22.0
36,64.0
37,77.0
38,74.0
39,66.0
40,81.0
41,51.0
42,64.0
43,81.0
44,42.0
45,61.0
46,56.0
47,46.0
48,34.0
49,26.0
50,65.0
51,27.0
52,74.0
53,22.0
54,52.0
55,29.0
56,82.0
57,71.0
58,82.0
59,20.0
60,57.0
61,64.0
62,80.0
63,46.0
64,61.0
65,17.0
66,38.0
67,33.0
68,29.0
69,74.0
70,78.0
71,81.0
72,74.0
73,15.0
74,22.0
75,73.0
76,71.0
77,49.0
78,64.0
79,65.0
80,35.0
81,68.0
82,72.0
83,86.0
84,39.0
85,31.0
86,82.0
87,29.0
88,49.0
89,33.0
90,75.0
91,26.0
92,62.0
93,48.0
94,24.0
95,66.0
96,82.0
97,63.0
98,85.0
99,56.0
100,46.0
101,50.0
102,50.0
103,46.0
104,88.0
105,27.0
106,36.0
107,81.0
108,30.0
109,30.0
110,61.0
111,33.0
112,30.0
113,21.0
114,73.0
115,88.0
116,40.0
117,71.0
118,71.0
119,39.0
120,21.0
121,31.0
122,24.0
123,37.0
124,32.0
125,66.0
126,31.0
127,39.0
128,49.0
129,37.0
130,80.0
131,25.0
132,39.0
133,23.0
134,28.0
135,29.0
136,14.0
137,80.0
138,82.0
