ID,Prediction
1,68.0
2,72.0
3,59.0
4,77.0
5,69.0
6,73.0
7,68.0
8,59.0
9,53.0
10,54.0
11,35.0
12,53.0
13,59.0
14,39.0
15,27.0
16,67.0
17,25.0
18,67.0
19,89.0
20,90.0
21,74.0
22,29.0
23,73.0
24,86.0
25,68.0
26,47.0
27,76.0
28,17.0
29,19.0
30,34.0
31,75.0
32,36.0
33,19.0
34,29.0
35,20.0
36,64.0
37,79.0
38,80.0
39,69.0
40,93.0
41,45.0
42,62.0
43,87.0
44,32.0
45,67.0
46,54.0
47,42.0
48,31.0
49,32.0
50,69.0
51,23.0
52,71.0
53,20.0
54,46.0
55,37.0
56,83.0
57,88.0
58,86.0
59,21.0
60,50.0
61,62.0
62,85.0
63,43.0
64,65.0
65,18.0
66,38.0
67,26.0
68,27.0
69,78.0
70,77.0
71,86.0
72,75.0
73,13.0
74,20.0
75,76.0
76,81.0
77,54.0
78,64.0
79,63.0
80,29.0
81,65.0
82,74.0
83,82.0
84,32.0
85,32.0
86,80.0
87,25.0
88,45.0
89,27.0
90,75.0
91,27.0
92,61.0
93,48.0
94,24.0
95,66.0
96,74.0
97,65.0
98,88.0
99,59.0
100,43.0
101,46.0
102,41.0
103,53.0
104,82.0
105,23.0
106,41.0
107,82.0
108,31.0
109,21.0
110,66.0
111,28.0
112,31.0
113,9.0
114,78.0
115,87.0
116,34.0
117,72.0
118,73.0
119,38.0
120,19.0
121,35.0
122,23.0
123,30.0
124,33.0
125,68.0
126,33.0
127,43.0
128,47.0
129,32.0
130,79.0
131,17.0
132,38.0
133,17.0
134,25.0
135,17.0
136,11.0
137,83.0
138,82.0
