ID,Prediction
1,62
2,71
3,53
4,78
5,68
6,73
7,58
8,54
9,56
10,48
11,33
12,52
13,59
14,36
15,28
16,61
17,28
18,68
19,83
20,81
21,77
22,31
23,64
24,86
25,61
26,47
27,69
28,22
29,26
30,33
31,68
32,37
33,19
34,28
35,25
36,60
37,81
38,82
39,62
40,82
41,44
42,63
43,84
44,36
45,58
46,53
47,42
48,34
49,31
50,70
51,28
52,74
53,25
54,46
55,34
56,84
57,77
58,77
59,21
60,50
61,59
62,80
63,43
64,67
65,16
66,36
67,31
68,31
69,74
70,76
71,85
72,73
73,13
74,20
75,75
76,75
77,51
78,59
79,59
80,32
81,62
82,73
83,86
84,35
85,35
86,81
87,23
88,44
89,34
90,73
91,29
92,61
93,43
94,26
95,63
96,85
97,62
98,81
99,57
100,51
101,50
102,42
103,46
104,112
105,27
106,36
107,82
108,33
109,24
110,59
111,35
112,31
113,18
114,72
115,88
116,36
117,71
118,67
119,38
120,29
121,34
122,24
123,35
124,38
125,66
126,32
127,42
128,48
129,33
130,78
131,18
132,39
133,23
134,28
135,22
136,17
137,83
138,81
