ID,Prediction
1,72.0
2,72.0
3,64.0
4,78.0
5,67.0
6,70.0
7,70.0
8,58.0
9,50.0
10,55.0
11,36.0
12,51.0
13,61.0
14,42.0
15,27.0
16,71.0
17,24.0
18,66.0
19,90.0
20,94.0
21,70.0
22,27.0
23,75.0
24,82.0
25,71.0
26,44.0
27,80.0
28,15.0
29,15.0
30,32.0
31,76.0
32,37.0
33,21.0
34,30.0
35,16.0
36,63.0
37,74.0
38,73.0
39,75.0
40,97.0
41,49.0
42,56.0
43,89.0
44,32.0
45,75.0
46,56.0
47,42.0
48,29.0
49,31.0
50,67.0
51,20.0
52,67.0
53,18.0
54,47.0
55,38.0
56,83.0
57,90.0
58,88.0
59,21.0
60,54.0
61,67.0
62,87.0
63,43.0
64,57.0
65,20.0
66,39.0
67,23.0
68,23.0
69,76.0
70,76.0
71,86.0
72,76.0
73,14.0
74,23.0
75,73.0
76,85.0
77,55.0
78,68.0
79,64.0
80,29.0
81,64.0
82,73.0
83,74.0
84,30.0
85,33.0
86,79.0
87,26.0
88,45.0
89,23.0
90,77.0
91,27.0
92,62.0
93,49.0
94,24.0
95,65.0
96,68.0
97,65.0
98,89.0
99,61.0
100,38.0
101,43.0
102,45.0
103,58.0
104,64.0
105,24.0
106,44.0
107,79.0
108,29.0
109,22.0
110,69.0
111,25.0
112,30.0
113,6.0
114,81.0
115,90.0
116,31.0
117,69.0
118,75.0
119,41.0
120,12.0
121,34.0
122,22.0
123,25.0
124,33.0
125,65.0
126,34.0
127,45.0
128,50.0
129,30.0
130,78.0
131,13.0
132,37.0
133,14.0
134,22.0
135,17.0
136,8.0
137,80.0
138,84.0
