ID,Prediction
1,0.6
2,0.6
3,0.6
4,0.6
5,0.6
6,0.6
7,0.6
8,1
9,0.6
10,0.6
11,1
12,0.6
13,0.6
14,0.6
15,1
16,0.6
17,1
18,0.6
19,0.6
20,0.6
21,0.6
22,1
23,0.6
24,0.6
25,0.6
26,1
27,0.6
28,1
29,1
30,0.6
31,0.6
32,1
33,0.6
34,0.6
35,1
36,0.6
37,0.6
38,0.6
39,0.6
40,0.6
41,0.6
42,0.6
43,0.6
44,1
45,0.6
46,0.6
47,0.6
48,1
49,1
50,1
51,1
52,0.6
53,1
54,0.6
55,1
56,0.6
57,0.6
58,0.6
59,1
60,0.6
61,0.6
62,0.6
63,1
64,0.6
65,1
66,1
67,0.6
68,1
69,0.6
70,0.6
71,0.6
72,0.6
73,1
74,1
75,0.6
76,0.6
77,1
78,0.6
79,0.6
80,0.6
81,0.6
82,0.6
83,0.6
84,0.6
85,0.6
86,0.6
87,1
88,1
89,1
90,0.6
91,1
92,0.6
93,0.6
94,1
95,0.6
96,0.6
97,0.6
98,0.6
99,0.6
100,0.6
101,0.6
102,0.6
103,1
104,0.6
105,1
106,1
107,0.6
108,0.6
109,0.6
110,0.6
111,0.6
112,0.6
113,1
114,0.6
115,0.6
116,0.6
117,0.6
118,0.6
119,1
120,1
121,1
122,1
123,0.6
124,0.6
125,0.6
126,1
127,0.6
128,0.6
129,1
130,0.6
131,1
132,1
133,0.6
134,0.6
135,1
136,1
137,0.6
138,0.6
